Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
04S06/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/WG		szt		150	171,98	25796,84		
04S07/02		Sklejka liściasta suchotrwała 4x1525x1525 CP/CP		szt		0	0,00	0,11		
04S07/03 E		Sklejka liściasta wodoodporna 4x1220x2440 CP/CP		szt		0	0,00	0,00		
04S07/04 E		Sklejka liściasta wodoodporna 4x2440x1220 CP/CP		szt		0	0,00	0,00		
04S07/05 E		Sklejka liściasta wodoodporna 4x1250x2500 CP/CP		szt		0	0,00	0,00		
04S07/06 E		Sklejka liściasta wodoodporna 4x2500x1250 CP/CP		szt		0	0,00	0,00		
04S07/11 E		Sklejka liściasta wodoodporna 4x1525x3050 CP/CP		szt		0	0,00	0,00		
04S07/12 E		Sklejka liściasta wodoodporna 4x1500x3000 CP/CP		szt		0	0,00	0,00		
04S09/03 E		Sklejka liściasta wodoodporna 4x1220x2440 WG/WG		szt		39,8015	78,78	3135,37		
04S09/05 E		Sklejka liściasta wodoodporna 4x1250x2500 WG/WG		szt		0	0,00	0,00		
04S09/06 E		Sklejka liściasta wodoodporna 4x2500x1250 WG/WG		szt		0	0,00	0,00		
04S09/07 E		Sklejka liściasta wodoodporna 4x1500x2500 WG/WG		szt		0	0,00	0,00		
04S09/11 E		Sklejka liściasta wodoodporna 4x1525x3050 WG/WG		szt		161,0282	139,24	22421,02		
04S09/12 E		Sklejka liściasta wodoodporna 4x1500x3000 WG/WG		szt		0	0,00	0,00		
04S09/60 E		Sklejka liściasta wodoodporna 4x1250x2750 WG/WG		szt		0	0,00	0,00		
04S10/02		Sklejka liściasta suchotrwała 4x1525x1525 C/C		szt		0	0,00	0,00		
04S10/03 E		Sklejka liściasta wodoodporna 4x1220x2440 C/C		szt		0	0,00	0,00		
04S10/04 E		Sklejka liściasta wodoodporna 4x2440x1220 C/C		szt		0	0,00	0,00		
04S10/05		Sklejka liściasta suchotrwała 4x1250x2500 C/C		szt		0	0,00	0,00		
04S10/05 E		Sklejka liściasta wodoodporna 4x1250x2500 C/C		szt		0	0,00	0,00		
04S10/12 E S2S		Sklejka liściasta wodoodporna 4x1500x3000mm C/C S2S		szt		0	0,00	0,00		
04s11/03 E		Sklejka liściasta wodoodporna 4x1220x2440		szt		289,9926	49,50	14355,01		
04S11/03 E PQ		Sklejka liściasta wodoodporna 4x1220x2440		szt		0	0,00	0,00		
04S11/05 E		Sklejka liściasta wodoodporna 4x1250x2500		szt		0	0,00	0,00		
04S11/05 PQ		Sklejka liściasta wodoodporna 4x1250x2500		szt		0	0,00	0,00		
04S11/05 S2S		Sklejka liściasta wodoodporna 4x1250x2500 S2S		szt		0	0,00	0,00		
04S11/07 E		Sklejka liściasta wodoodporna 4x1500x2500		szt		0	0,00	0,00		
04S11/11 E		Sklejka liściasta wodoodporna 4x1525x3050		szt		0	0,00	0,00		
04S11/11 PQ F		Sklejka liściasta foliowana wodoodporna 4x1525x3050		szt		0	0,00	0,00		
04S11/12 E		Sklejka liściasta wodoodporna 4x1500x3000		szt		0	0,00	0,00		
04S11/23 E		Sklejka liściasta wodoodporna 4x1500x2700 PQ		szt		0	0,00	0,00		
04S11/64 PQF		Sklejka liściasta foliowana wodoodporna 4x1200x2400		szt		0	0,00	0,00		
04S12/05 F/F		Sklejka liściasta foliowana 4x1250x2500 F/F		szt		41,037	129,52	5314,92		
04S12/05 F/F CH		Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/F		szt		0	0,00	0,00		
04S12/05 F/F grey		Sklejka liściasta foliowana 4x1250x2500 F/F grey		szt		0	0,00	0,00		
04S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 4x1250x2500 F/F grey/dark brown		szt		369,5285	143,52	53035,27		
04S12/05 F/F l.br.		Sklejka liściasta foliowana 4x1250x2500 F/F light brown		szt		0	0,00	0,00		
04S12/05 F/F TE		Sklejka liściasta foliowana topolowa 4x1250x2500 F/F		szt		0	0,00	0,00		
04S12/07 F/F grey		Sklejka liściasta foliowana 4x1500x2500 F/F grey		szt		0	0,00	0,00		
04S12/09 F/F grey		Sklejka liściasta foliowana 4x1525x2500 F/F grey		szt		0	0,00	0,00		
04S12/09 F/F grey/d.br		Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown		szt		0	0,00	0,00		
04S12/11 F/F		Sklejka liściasta foliowana 4x1525x3050 F/F		szt		0	0,00	0,00		
04S12/11 F/F grey		Sklejka liściasta foliowana 4x1525x3050 F/F grey		szt		0	0,00	0,00		
