Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa2					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
04S07/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/CP	m3	0	0	0
04S09/03 E	Sklejka liściasta wodoodporna 4x1220x2440 WG/WG	m3	1,786	6615,77	11815,76
04S09/05 E	Sklejka liściasta wodoodporna 4x1250x2500 WG/WG	m3	0	0	0
04S09/06 E	Sklejka liściasta wodoodporna 4x2500x1250 WG/WG	m3	0	0	0
04S09/07 E	Sklejka liściasta wodoodporna 4x1500x2500 WG/WG	m3	0	0	0
04S09/11 E	Sklejka liściasta wodoodporna 4x1525x3050 WG/WG	m3	2,996	7483,75	22421,02
04S09/12 E	Sklejka liściasta wodoodporna 4x1500x3000 WG/WG	m3	0	0	0
04S09/60 E	Sklejka liściasta wodoodporna 4x1250x2750 WG/WG	m3	0	0	0
04S10/02	Sklejka liściasta suchotrwała 4x1525x1525 C/C	m3	0	0	0
04S10/03 E	Sklejka liściasta wodoodporna 4x1220x2440 C/C	m3	0	0	0
04S10/04 E	Sklejka liściasta wodoodporna 4x2440x1220 C/C	m3	0	0	0
04S10/05	Sklejka liściasta suchotrwała 4x1250x2500 C/C	m3	0	0	0
04S10/05 E	Sklejka liściasta wodoodporna 4x1250x2500 C/C	m3	0	0	0
04S10/12 E S2S	Sklejka liściasta wodoodporna 4x1500x3000mm C/C S2S	m3	0	0	0
04s11/03 E	Sklejka liściasta wodoodporna 4x1220x2440	m3	0	0	0
04S11/03 E PQ	Sklejka liściasta wodoodporna 4x1220x2440	m3	0	0	0
04S11/05 E	Sklejka liściasta wodoodporna 4x1250x2500	m3	0	0	0
04S11/05 PQ	Sklejka liściasta wodoodporna 4x1250x2500	m3	0	0	0
04S11/05 S2S	Sklejka liściasta wodoodporna 4x1250x2500 S2S	m3	0	0	0
04S11/07 E	Sklejka liściasta wodoodporna 4x1500x2500	m3	0	0	0
04S11/11 E	Sklejka liściasta wodoodporna 4x1525x3050	m3	0	0	0
04S11/11 PQ F	Sklejka liściasta foliowana wodoodporna 4x1525x3050	m3	0	0	0
04S11/12 E	Sklejka liściasta wodoodporna 4x1500x3000	m3	0	0	0
04S11/23 E	Sklejka liściasta wodoodporna 4x1500x2700 PQ	m3	0	0	0
04S11/64 PQF	Sklejka liściasta foliowana wodoodporna 4x1200x2400	m3	0	0	0
04S12/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F	m3	0,763	10361,23	7905,62
04S12/05 F/F CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/F	m3	0	0	0
04S12/05 F/F grey	Sklejka liściasta foliowana 4x1250x2500 F/F grey	m3	0	0	0
