Stany magazynowe towarów: na dzień 2026-09-07	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
04S11/64 PQF		Sklejka liściasta foliowana wodoodporna 4x1200x2400		m2		0	0,00	0,00		
04S12/05 F/F		Sklejka liściasta foliowana 4x1250x2500 F/F		m2		128,2405	41,44	5314,92		
04S12/05 F/F CH		Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/F		m2		0	0,00	0,00		
04S12/05 F/F grey		Sklejka liściasta foliowana 4x1250x2500 F/F grey		m2		0	0,00	0,00		
04S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 4x1250x2500 F/F grey/dark brown		m2		1154,7766	45,93	53035,27		
04S12/05 F/F l.br.		Sklejka liściasta foliowana 4x1250x2500 F/F light brown		m2		0	0,00	0,00		
04S12/05 F/F TE		Sklejka liściasta foliowana topolowa 4x1250x2500 F/F		m2		0	0,00	0,00		
04S12/07 F/F grey		Sklejka liściasta foliowana 4x1500x2500 F/F grey		m2		0	0,00	0,00		
04S12/09 F/F grey		Sklejka liściasta foliowana 4x1525x2500 F/F grey		m2		0	0,00	0,00		
04S12/09 F/F grey/d.br		Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown		m2		0	0,00	0,00		
04S12/11 F/F		Sklejka liściasta foliowana 4x1525x3050 F/F		m2		0	0,00	0,00		
04S12/11 F/F grey		Sklejka liściasta foliowana 4x1525x3050 F/F grey		m2		0	0,00	0,00		
04S12/11 F/F l.br		Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz		m2		0	0,00	0,00		
04S12/12 F/F		Sklejka liściasta foliowana 4x1500x3000 F/F		m2		207	40,04	8288,31		
04S12/12 F/F EUK		Sklejka foliowana eukaliptus 4x1500x3000 F/F		m2		0	0,00	0,00		
04S12/12 F/F grey		Sklejka liściasta foliowana 4x1500x3000 F/F grey		m2		0	0,00	0,00		
04S12/12 F/F grey/d.br		Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown		m2		1079,991	60,75	65611,26		
04S12/29 F/F		Sklejka liściasta foliowana 4x1250x3050 F/F		m2		0	0,00	0,00		
04S13/05 F/F		Sklejka liściasta foliowana 4x1250x2500 F/F		m2		0	0,00	0,00		
04S13/05 F/F SRT		Sklejka liściasta foliowana 4x1250x2500 F/F		m2		365,5	31,04	11345,98		
04S13/11 F/F grey		Sklejka liściasta foliowana 4x1525x3050 F/F szary		m2		102,343	27,82	2846,81		
04S13/11 F/F l.br		Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz		m2		0	0,00	0,00		
04S13/12 F/F		Sklejka liściasta foliowana 4x1500x3000 F/F		m2		188,9965	36,75	6946,42		
04S13/12 F/F grey		Sklejka liściasta foliowana 4x1500x3000 F/F grey		m2		0	0,00	0,00		
04S13/12 F/F grey/d.br.		Sklejka liściasta foliowana 4x1500x3000 F/F szara/ciemny brąz		m2		211,5	33,45	7074,21		
04S14/05 F/W CH		Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W		m2		0	0,00	0,00		
04S18/02		Sklejka liściasta suchotrwała 4x1525x1525 CP/C		m2		0	0,00	0,00		
04S18/04 E		Sklejka liściasta wodoodporna 4x2440x1220mm CP/C		m2		0	0,00	0,00		
04S18/05 E		Sklejka liściasta wodoodporna 4x1250x2500 CP/C		m2		0	0,00	0,00		
04S18/06 E		Sklejka liściasta wodoodporna 4x2500x1250 CP/C		m2		0	0,00	0,00		
04S18/11 E		Sklejka liściasta wodoodporna 4x1525x3050 CP/C		m2		0	0,00	0,00		
04S18/12 E		Sklejka liściasta wodoodporna 4x1500x3000 CP/C		m2		106,7373	22,10	2358,69		
04S22/02		Sklejka liściasta suchotrwała 4x1525x1525 BB/C		m2		0	0,00	0,00		
04S22/04 E		Sklejka liściasta wodoodporna 4x2440x1220		m2		0	0,00	0,00		
04S22/05 E		Sklejka liściasta wodoodporna 4x1250x2500 BB/C		m2		0	0,00	0,00		
04S22/06 E		Sklejka liściasta wodoodporna 4x2500x1250 BB/C		m2		0	0,00	0,00		
04S22/11 E		Sklejka liściasta wodoodporna 4x1525x3050 BB/C		m2		0	0,00	0,00		
04S22/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/C		m2		0	0,00	0,00		
05S02/02		Sklejka liściasta suchotrwała 5x1525x1525 B/BB		m2		0	0,00	0,00		
05S04/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/BB		m2		0	0,00	0,00		
05S04/11 E		Sklejka liściasta wodoodporna 5x1525x3050 BB/BB		m2		0	0,00	0,00		
05S05/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/CP		m2		0	0,00	0,00		
05S05/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/CP		m2		3909,067	28,50	111408,41		
05S05/06 E		Sklejka liściasta wodoodporna 5x2500x1250 BB/CP		m2		2062,6	31,15	64249,99		
05S05/09 E		Sklejka liściasta wodoodporna 5x1525x2500 BB/CP		m2		0	0,00	0,00		
05S05/12 E		Sklejka liściasta wodoodporna 5x1500x3000 BB/CP		m2		0	0,00	0,00		
05S05/28 E		Sklejka liściasta wodoodporna 5x1525x3000 BB/CP		m2		0	0,00	0,00		
05S06/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/WG		m2		0	0,00	0,00		
05S06/60 E		Sklejka liściasta wodoodporna 5x1250x2750 BB/WG		m2		0	0,00	0,00		
05S07/03 E		Sklejka liściasta wodoodporna 5x1220x2440 CP/CP		m2		0	0,00	0,00		
05S07/05 E		Sklejka liściasta wodoodporna 5x1250x2500 CP/CP		m2		0	0,00	0,00		
05S07/11 E		Sklejka liściasta wodoodporna 5x1525x3050 CP/CP		m2		0	0,00	0,00		
05S10/02		Sklejka liściasta suchotrwała 5x1525x1525 C/C		m2		0	0,00	0,00		
05S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz		m2		4005,79	64,28	257511,84		
05S12/09 F/F grey/d.br.		Sklejka liściasta foliowana 5x1530x2500 F/F szara/ciemny brąz		m2		2756,7255	76,58	211104,45		
05S12/12 F/F grey/d.br		Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown		m2		0	0,00	0,00		
05S13/05 F/F grey/d.br.		Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown		m2		659,2571	29,84	19671,21		
05S13/09 F/F grey/d.br.		Sklejka liściasta foliowana 5x1525x2500 F/F szara/ciemnobrązowa		m2		0	0,00	0,00		
05S18/05 E		Sklejka liściasta wodoodporna 5x1250x2500 CP/C		m2		0	0,00	0,00		
05S18/11 E		Sklejka liściasta wodoodporna 5x1525x3050 CP/C		m2		0	0,00	0,00		
05S18/12 E		Sklejka liściasta wodoodporna 5x1500x3000 CP/C		m2		0	0,00	0,00		
05S22/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/C		m2		0	0,00	0,00		
05S22/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/C		m2		0	0,00	0,00		
05S22/11 E		Sklejka liściasta wodoodporna 5x1525x3050 BB/C		m2		0	0,00	0,00		
05S22/12 E		Sklejka liściasta wodoodporna 5x1500x3000 BB/C		m2		0	0,00	0,00		
065S/ALU E		sklejka liściasta WD, gr. 6,5mm		m2		0	0,00	0,00		
065S04/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB		m2		0	0,00	0,00		
065S04/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB		m2		0	0,00	0,00		
065S04/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB		m2		187,5385	46,54	8727,97		
065S04/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB		m2		0	0,00	0,00		
065S04/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB		m2		180,0001	44,55	8018,14		
065S05/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP		m2		774,6353	40,30	31220,51		
065S05/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP		m2		0	0,00	0,00		
