Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa1					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
04S12/05 F/F l.br.	Sklejka liściasta foliowana 4x1250x2500 F/F light brown	szt	0	0	0
04S12/05 F/F TE	Sklejka liściasta foliowana topolowa 4x1250x2500 F/F	szt	0	0	0
04S12/07 F/F grey	Sklejka liściasta foliowana 4x1500x2500 F/F grey	szt	0	0	0
04S12/09 F/F grey	Sklejka liściasta foliowana 4x1525x2500 F/F grey	szt	0	0	0
04S12/09 F/F grey/d.br	Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown	szt	0	0	0
04S12/11 F/F	Sklejka liściasta foliowana 4x1525x3050 F/F	szt	0	0	0
04S12/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F grey	szt	0	0	0
04S12/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	szt	0	0	0
04S12/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	szt	46	180,18	8288,31
04S12/12 F/F EUK	Sklejka foliowana eukaliptus 4x1500x3000 F/F	szt	0	0	0
04S12/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	szt	0	0	0
04S12/12 F/F grey/d.br	Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown	szt	129,998	274,98	35746,2
04S12/29 F/F	Sklejka liściasta foliowana 4x1250x3050 F/F	szt	0	0	0
04S13/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F	szt	167,9909	106,12	17826,76
04S13/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F szary	szt	22,0031	129,38	2846,81
04S13/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	szt	0	0	0
04S13/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	szt	41,9992	165,39	6946,42
04S13/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	szt	0	0	0
04S14/05 F/W CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W	szt	0	0	0
04S18/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/C	szt	0	0	0
04S18/04 E	Sklejka liściasta wodoodporna 4x2440x1220mm CP/C	szt	0	0	0
04S18/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/C	szt	0	0	0
04S18/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/C	szt	0	0	0
04S18/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/C	szt	0	0	0
04S18/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/C	szt	63,7194	96,38	6141,24
04S22/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/C	szt	0	0	0
04S22/04 E	Sklejka liściasta wodoodporna 4x2440x1220	szt	0	0	0
04S22/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/C	szt	0	0	0
04S22/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/C	szt	0	0	0
04S22/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/C	szt	0	0	0
04S22/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/C	szt	0	0	0
05S02/02	Sklejka liściasta suchotrwała 5x1525x1525 B/BB	szt	0	0	0
05S04/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB	szt	0	0	0
05S04/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/BB	szt	0	0	0
05S05/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP	szt	0	0	0
05S05/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/CP	szt	0,952	88,05	83,82
05S05/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/CP	szt	0	0	0
05S05/09 E	Sklejka liściasta wodoodporna 5x1525x2500 BB/CP	szt	0	0	0
05S05/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/CP	szt	0	0	0
05S05/28 E	Sklejka liściasta wodoodporna 5x1525x3000 BB/CP	szt	0	0	0
05S06/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/WG	szt	0	0	0
05S06/60 E	Sklejka liściasta wodoodporna 5x1250x2750 BB/WG	szt	0	0	0
05S07/03 E	Sklejka liściasta wodoodporna 5x1220x2440 CP/CP	szt	0	0	0
05S07/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/CP	szt	0	0	0
05S07/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/CP	szt	0	0	0
05S10/02	Sklejka liściasta suchotrwała 5x1525x1525 C/C	szt	0	0	0
05S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz	szt	1837,8947	209,9	385775,12
05S12/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1530x2500 F/F szara/ciemny brąz	szt	1204,6571	293,84	353976,66
05S12/12 F/F grey/d.br	Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown	szt	0	0	0
05S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown	szt	210,9623	93,25	19671,21
05S13/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1525x2500 F/F szara/ciemnobrązowa	szt	0	0	0
05S18/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/C	szt	0	0	0
05S18/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/C	szt	0	0	0
05S18/12 E	Sklejka liściasta wodoodporna 5x1500x3000 CP/C	szt	0	0	0
05S22/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/C	szt	0	0	0
05S22/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/C	szt	0	0	0
05S22/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/C	szt	0	0	0
05S22/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/C	szt	0	0	0
065S/ALU E	sklejka liściasta WD, gr. 6,5mm	szt	0	0	0
065S04/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB	szt	0	0	0
065S04/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB	szt	0	0	0
065S04/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB	szt	0	0	0
065S04/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB	szt	0	0	0
065S04/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB	szt	40	200,45	8018,14
065S05/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP	szt	330,0022	125,87	41536,59
065S05/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP	szt	82,8645	116,8	9678,31
065S05/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP	szt	0	0	0
065S06/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG	szt	0	0	0
065S06/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG	szt	1105,8853	114,59	126725,28
065S06/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG	szt	123,8119	124,07	15361,94
065S06/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG	szt	695,9743	126,48	88029,79
065S06/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG	szt	0	0	0
065S06/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/WG	szt	1415,6572	195,3	276476,11
065S06/27 E	Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG	szt	0	0	0
065S06/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG	szt	0	0	0
065S07/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP	szt	0	0	0
065S07/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP	szt	239,7282	104,44	25038,41
065S07/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP	szt	0	0	0
065S07/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP	szt	0	0	0
065S07/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP	szt	868,0003	143,32	124406,1
065S09/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG	szt	0	0	0
065S09/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG	szt	0	0	0
065S09/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG	szt	0	0	0
065S09/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG	szt	0	0	0,07
065S09/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500 WG/WG	szt	0	0	0
065S09/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG	szt	0	0	0
065S09/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG	szt	0	0	0
065S09/39 E	Sklejka liściasta wodoodporna 6,5x1220x2500 WG/WG	szt	0	0	0
065S09/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG	szt	0	0	0
065S09/62 E	Sklejka liściasta wodoodporna 6,5x2150x3050 WG/WG	szt	0	0	0
065S09/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 WGE/WGE	szt	0	0	0
065S09/90 E	Sklejka liściasta wodoodporna 6,5x1525x3340 WG/WG	szt	0	0	0
065S10/03 E S2S	Sklejka liściasta wodoodporna 6,5x1220x2440 C/C	szt	0	0	0
065S10/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	szt	0	0	0
065S10/05 E S2S	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	szt	109,9816	85,13	9363,28
065S10/05 E TB	Sklejka bintangor/topola 6,5x1250x2500 C/C	szt	0	0	0
065S10/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	szt	360,0247	71,49	25737,35
065S10/06 E S2S	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	szt	0	0	0
065S10/12 E S2S	Sklejka liściasta wodoodporna 6,5x1500x3000 C/C	szt	0	0	0
065S11/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 kilo	szt	0	0	0
065S11/03 E PQ	Sklejka liściasta wodoodporna 6,5x1220x2440	szt	0	0	0
065S11/03 PQ	Sklejka liściasta foliowana 6,5x1220x2440	szt	0	0	0
065S11/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 kilo	szt	0	0	0
065S11/05 E PQ	Sklejka liściasta wodoodporna 6,5x1250x2500	szt	0	0	0
065S11/05 E PQ-F	Sklejka liściasta wodoodporna 6,5x1250x2500	szt	0	0	0
065S11/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500	szt	0	0	0
065S11/07 PQ	Sklejka liściasta foliowana 6,5x1500x2500	szt	0	0	0
065S11/07 PQ F	Sklejka liściasta laminowana 6,5x1500x2500	szt	0	0	0
065S11/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 kilo	szt	0	0	0
065S11/106 PQ F	Sklejka liściasta foliowana 6,5x1850x1220	szt	0	0	0
065S11/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 kilo	szt	3,0099	89,86	270,46
065S11/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 kilo	szt	0	0	0
065S11/12 PQ	Sklejka liściasta suchotrwała 6,5x1500x3000	szt	0	0	0
065S11/12 PQ F	Sklejka liściasta foliowana 6,5x1500x3000	szt	32,0342	60,46	1936,84
065S11/26 PQ	Sklejka liściasta wodoodporna 6,5x2150x1250	szt	0	0	0
065S11/26 PQ F	Sklejka liściasta wodoodporna 6,5x2150x1250	szt	0	0	0
065S11/29 E	Sklejka liściasta wodoodporna 6,5x1250x3050	szt	22,9823	67,7	1555,85
065S11/56 E	Sklejka liściasta wodoodporna 6,5x1525x2750 kilo	szt	0	0	0
065S11/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750	szt	0	0	0
065S11/64 PQ	Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ	szt	0	0	0
065S11/65 PQ	Sklejka liściasta suchotrwała 6,5x1525x2150	szt	0	0	0
065S11/69 E	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	szt	0	0	0
065S11/69 PQ	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	szt	0	0	0
065S11/69 PQ F	Sklejka liściasta foliowana 6,5x2150x1525 kilo	szt	34,9551	41,39	1446,77
065S11/72 F/F	Sklejka liściasta foliowana 6,5x780x1960mm	szt	0	0	0
065S12/03 F/F	Sklejka liściasta foliowana 6,5x1220x2440 F/F	szt	0	0	0
065S12/03 F/F black	Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna	szt	0	0	0
065S12/03 F/F green	Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona	szt	0	0	0
065S12/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	szt	554,9122	127,19	70580,21
065S12/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	szt	713,7928	133,08	94993,32
065S12/05 F/F green	Sklejka liściasta foliowana 6,5x1250x2500 F/F zielona	szt	0	0	0
065S12/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	szt	359,9247	123,41	44416,97
065S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz	szt	217,4524	143,06	31108,7
065S12/05 F/F grey/yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta	szt	0	0	0
065S12/05 F/F yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta	szt	0	0	0
065S12/05 M/F	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	szt	0	0	0
065S12/05 M/M white	Sklejka liściasta foliowana 6,5x1250x2500 M/M	szt	88,0172	121,24	10671,1
065S12/09 F/F	Sklejka liściasta foliowana 6,5x1525x2500 F/F	szt	0	0	0
065S12/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	szt	39,0088	182,22	7108,26
065S12/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara	szt	0	0	0
065S12/11 F/F grey / d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz	szt	0	0	0
065S12/12	Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz	szt	0	0	0
065S12/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	szt	216,8844	204,79	44415,33
065S12/12 F/F black	Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna	szt	0	0	0
065S12/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	szt	0	0	0
065S12/12 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown	szt	319,0086	261,66	83472,53
065S12/12 F/F l.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	szt	0	0	0
065S12/12 M/M	Sklejka liściasta foliowana 6,5x1500x3000 M/M	szt	16,9914	177,12	3009,54
065S12/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	szt	0	0	0
065S12/75 F/F grey	Sklejka liściasta foliowana 6,5x2150x4000 F/F szara	szt	0	0	0
065S13/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	szt	134,0004	98,83	13243,73
065S13/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	szt	10,8	97,07	1048,35
065S13/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	szt	0	0	0
065S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa	szt	0	0	0
065S13/05 F/F yell/d.br	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz	szt	0	0	0
065S13/05 M/F white/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	szt	0	0	0
065S13/05 M/M	Sklejka liściasta foliowana 6,5x1250x2500 M/M	szt	63,9924	118,45	7579,75
