Stany magazynowe towarów: na dzień 2026-04-27					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
04S18/04 E	Sklejka liściasta wodoodporna 4x2440x1220mm CP/C	m2	0	0	0
04S18/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/C	m2	0	0	0
04S18/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/C	m2	0	0	0
04S18/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/C	m2	0	0	0
04S18/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/C	m2	286,7373	21,42	6141,24
04S22/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/C	m2	0	0	0
04S22/04 E	Sklejka liściasta wodoodporna 4x2440x1220	m2	0	0	0
04S22/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/C	m2	0	0	0
04S22/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/C	m2	0	0	0
04S22/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/C	m2	0	0	0
04S22/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/C	m2	0	0	0
05S02/02	Sklejka liściasta suchotrwała 5x1525x1525 B/BB	m2	0	0	0
05S04/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB	m2	0	0	0
05S04/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/BB	m2	0	0	0
05S05/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP	m2	0	0	0
05S05/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/CP	m2	2,975	28,17	83,82
05S05/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/CP	m2	0	0	0
05S05/09 E	Sklejka liściasta wodoodporna 5x1525x2500 BB/CP	m2	0	0	0
05S05/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/CP	m2	0	0	0
05S05/28 E	Sklejka liściasta wodoodporna 5x1525x3000 BB/CP	m2	0	0	0
05S06/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/WG	m2	0	0	0
05S06/60 E	Sklejka liściasta wodoodporna 5x1250x2750 BB/WG	m2	0	0	0
05S07/03 E	Sklejka liściasta wodoodporna 5x1220x2440 CP/CP	m2	0	0	0
05S07/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/CP	m2	0	0	0
05S07/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/CP	m2	0	0	0
05S10/02	Sklejka liściasta suchotrwała 5x1525x1525 C/C	m2	0	0	0
